League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,TI_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
Frauen-Bundesliga,2023-11-10,Frauen-Bundesliga (Matchweek 7),Eintracht Frankfurt,4-3-1-2,2,0.8,Nicole Anyomi · 19&rsquor; Nicole Anyomi · 66&rsquor;,1,0,Bayer Leverkusen,4-2-3-1,2,1,Synne Hansen · 17&rsquor; Estrella Gonzalez · 88&rsquor;,2,0,Eintracht Frankfurt,Home,NA,990,535,476,55,13,0,1,26,28,3,2,0,0,410,4,8
Frauen-Bundesliga,2023-11-10,Frauen-Bundesliga (Matchweek 7),Eintracht Frankfurt,4-3-1-2,2,0.8,Nicole Anyomi · 19&rsquor; Nicole Anyomi · 66&rsquor;,1,0,Bayer Leverkusen,4-2-3-1,2,1,Synne Hansen · 17&rsquor; Estrella Gonzalez · 88&rsquor;,2,0,Bayer Leverkusen,Away,NA,990,394,347,45,11,0,3,18,20,2,2,0,0,275,2,11
Frauen-Bundesliga,2023-11-11,Frauen-Bundesliga (Matchweek 7),RB Leipzig,3-4-1-2,0,0.4,NA,3,0,Werder Bremen,5-3-2,5,2.5,Saskia Matheis · 2&rsquor; Sophie Weidauer · 31&rsquor; Nina Lührßen · 40&rsquor; Sophie Weidauer · 81&rsquor; Sophie Weidauer · 86&rsquor;,0,0,RB Leipzig,Home,NA,990,367,301,66,9,0,2,7,39,4,4,0,0,226,0,11
Frauen-Bundesliga,2023-11-11,Frauen-Bundesliga (Matchweek 7),RB Leipzig,3-4-1-2,0,0.4,NA,3,0,Werder Bremen,5-3-2,5,2.5,Saskia Matheis · 2&rsquor; Sophie Weidauer · 31&rsquor; Nina Lührßen · 40&rsquor; Sophie Weidauer · 81&rsquor; Sophie Weidauer · 86&rsquor;,0,0,Werder Bremen,Away,NA,990,453,401,48,7,1,5,13,30,1,1,0,0,311,4,11
Frauen-Bundesliga,2023-11-11,Frauen-Bundesliga (Matchweek 7),Essen,4-2-3-1,5,2.8,Laureta Elmazi · 5&rsquor; Laureta Elmazi · 9&rsquor; Natasha Kowalski (P) · 28&rsquor; Natasha Kowalski · 36&rsquor; Ramona Maier · 64&rsquor;,4,0,1. FC Nürnberg,3-4-1-2,0,0.2,NA,3,0,Essen,Home,NA,990,473,414,57,10,0,4,35,35,7,2,4,0,369,2,9
Frauen-Bundesliga,2023-11-11,Frauen-Bundesliga (Matchweek 7),Essen,4-2-3-1,5,2.8,Laureta Elmazi · 5&rsquor; Laureta Elmazi · 9&rsquor; Natasha Kowalski (P) · 28&rsquor; Natasha Kowalski · 36&rsquor; Ramona Maier · 64&rsquor;,4,0,1. FC Nürnberg,3-4-1-2,0,0.2,NA,3,0,1. FC Nürnberg,Away,NA,990,408,360,47,12,0,1,6,17,2,2,0,0,298,1,14
Frauen-Bundesliga,2023-11-12,Frauen-Bundesliga (Matchweek 7),Wolfsburg,4-2-3-1,4,3.4,Ewa Pajor · 36&rsquor; Vivien Endemann · 39&rsquor; Ewa Pajor · 50&rsquor; Lena Lattwein · 60&rsquor;,0,0,Freiburg,4-2-3-1,0,0.3,NA,2,0,Wolfsburg,Home,NA,990,555,486,69,11,1,1,31,38,11,8,1,0,415,0,13
Frauen-Bundesliga,2023-11-12,Frauen-Bundesliga (Matchweek 7),Wolfsburg,4-2-3-1,4,3.4,Ewa Pajor · 36&rsquor; Vivien Endemann · 39&rsquor; Ewa Pajor · 50&rsquor; Lena Lattwein · 60&rsquor;,0,0,Freiburg,4-2-3-1,0,0.3,NA,2,0,Freiburg,Away,NA,990,334,277,54,7,1,0,12,22,3,0,1,2,197,3,16
Frauen-Bundesliga,2023-11-12,Frauen-Bundesliga (Matchweek 7),Bayern Munich,4-2-3-1,2,4.2,Jovana Damnjanović · 8&rsquor; Georgia Stanway (P) · 72&rsquor;,0,0,MSV Duisburg,5-4-1,0,0,NA,2,0,Bayern Munich,Home,NA,990,796,737,52,8,0,5,21,34,6,6,0,0,691,7,7
Frauen-Bundesliga,2023-11-12,Frauen-Bundesliga (Matchweek 7),Bayern Munich,4-2-3-1,2,4.2,Jovana Damnjanović · 8&rsquor; Georgia Stanway (P) · 72&rsquor;,0,0,MSV Duisburg,5-4-1,0,0,NA,2,0,MSV Duisburg,Away,NA,990,284,233,50,10,0,1,2,21,0,0,0,0,178,1,6
