"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","PlayerURL","LeagueName","LeagueURL","StatType"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Sara Doorsoun","GER","DF","32",16.2,4,12,1,8.3,0.74,0.06,0,0,33.2,1,4,4,3.6,0.7,0.06,0.4,-0.7,"https://fbref.com/en/players/cdb82d35/Sara-Doorsoun","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Nina Lührßen","GER","DF","24",16.6,0,12,3,25,0.72,0.18,0,0,24.6,5,0,0,0.7,0.7,0.06,-0.7,-0.7,"https://fbref.com/en/players/e070cdf6/Nina-Luhrssen","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Pia-Sophie Wolter","GER","DF","26",15.6,1,6,3,50,0.38,0.19,0.17,0.33,19.5,0,0,0,0.6,0.6,0.1,0.4,0.4,"https://fbref.com/en/players/8ddc3ad5/Pia-Sophie-Wolter","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Nicole Anyomi","GER","FW,MF","24",14.7,14,37,20,54.1,2.52,1.36,0.38,0.7,12.8,0,0,0,9.6,9.6,0.26,4.4,4.4,"https://fbref.com/en/players/83b0b998/Nicole-Anyomi","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Lara Prašnikar","SVN","FW,MF","25",13.5,5,37,15,40.5,2.73,1.11,0.11,0.27,14.2,4,1,1,6,5.3,0.15,-1,-1.3,"https://fbref.com/en/players/08a0adb8/Lara-Prasnikar","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Barbara Dunst","AUT","MF","26",9.4,1,17,6,35.3,1.82,0.64,0.06,0.17,22.4,0,0,0,0.9,0.9,0.05,0.1,0.1,"https://fbref.com/en/players/ef22977e/Barbara-Dunst","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Tanja Pawollek","POL","MF","25",10.2,2,26,8,30.8,2.54,0.78,0.08,0.25,19.5,0,0,0,1.8,1.8,0.07,0.2,0.2,"https://fbref.com/en/players/7737e984/Tanja-Pawollek","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Nadine Riesen","SUI","DF","24",7.3,0,4,1,25,0.55,0.14,0,0,17.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,"https://fbref.com/en/players/6660f40b/Nadine-Riesen","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Carlotta Wamser","GER","DF,FW","20",8,4,21,14,66.7,2.61,1.74,0.19,0.29,10.7,0,0,0,4.6,4.6,0.22,-0.6,-0.6,"https://fbref.com/en/players/e2b70fe7/Carlotta-Wamser","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Jella Veit","GER","DF","19",4.7,0,3,1,33.3,0.64,0.21,0,0,24.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,"https://fbref.com/en/players/3107a1d3/Jella-Veit","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
