League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
Championnat de France de Football Féminin,2024-01-21,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-1-4-1,1,1.2,Amandine Pierre-Louis · 29&rsquor;,2,0,Fleury,4-3-3,0,0.7,NA,0,0,Fleury,Away,NA,990,10,7,1,4,5,6,16,37.5,10,6,0,6,10,20,10,0
Championnat de France de Football Féminin,2024-01-21,Championnat de France de Football Féminin (Regular season),Montpellier,4-2-3-1,1,1.2,Océane Deslandes · 35&rsquor;,2,0,Lyon,4-3-3,2,2.7,Vanessa Gilles · 12&rsquor; Ada Hegerberg · 27&rsquor;,1,0,Montpellier,Home,NA,990,26,18,18,6,2,7,13,53.8,6,12,3,9,16,42,34,1
Championnat de France de Football Féminin,2024-01-21,Championnat de France de Football Féminin (Regular season),Montpellier,4-2-3-1,1,1.2,Océane Deslandes · 35&rsquor;,2,0,Lyon,4-3-3,2,2.7,Vanessa Gilles · 12&rsquor; Ada Hegerberg · 27&rsquor;,1,0,Lyon,Away,NA,990,20,14,8,6,6,13,29,44.8,16,14,1,13,18,38,9,0
Championnat de France de Football Féminin,2024-02-02,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,1,0.4,Dominika Grabowska · 19&rsquor;,3,0,Paris Saint-Germain,4-5-1,1,2.6,Sakina Karchaoui · 61&rsquor;,1,0,Fleury,Home,NA,990,20,8,13,4,3,13,28,46.4,15,15,4,11,14,34,33,1
Championnat de France de Football Féminin,2024-02-02,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,1,0.4,Dominika Grabowska · 19&rsquor;,3,0,Paris Saint-Germain,4-5-1,1,2.6,Sakina Karchaoui · 61&rsquor;,1,0,Paris Saint-Germain,Away,NA,990,21,10,5,10,6,11,18,61.1,7,8,2,6,9,30,6,0
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Le Havre,4-1-4-1,4,1.9,Inès Benyahia · 18&rsquor; Silke Demeyere · 27&rsquor; Nadjma Ali Nadjim · 53&rsquor; Christy Gavory · 73&rsquor;,1,0,Saint-Étienne,4-2-3-1,2,0.5,Amandine Pierre-Louis · 62&rsquor; Alexandria Lamontagne · 90+2&rsquor;,1,0,Le Havre,Home,NA,990,18,17,9,8,1,6,14,42.9,8,13,1,12,11,29,17,0
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Le Havre,4-1-4-1,4,1.9,Inès Benyahia · 18&rsquor; Silke Demeyere · 27&rsquor; Nadjma Ali Nadjim · 53&rsquor; Christy Gavory · 73&rsquor;,1,0,Saint-Étienne,4-2-3-1,2,0.5,Amandine Pierre-Louis · 62&rsquor; Alexandria Lamontagne · 90+2&rsquor;,1,0,Saint-Étienne,Away,NA,990,11,6,3,6,2,7,13,53.8,6,8,0,8,8,19,6,0
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Dijon,4-2-3-1,1,1,Klaudia Jedlińska · 2&rsquor;,0,0,Montpellier,4-1-4-1,0,0.6,NA,0,0,Dijon,Home,NA,990,29,22,15,12,2,14,30,46.7,16,10,2,8,26,55,26,0
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Dijon,4-2-3-1,1,1,Klaudia Jedlińska · 2&rsquor;,0,0,Montpellier,4-1-4-1,0,0.6,NA,0,0,Montpellier,Away,NA,990,22,15,5,10,7,16,25,64,9,19,2,17,20,42,12,0
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,4,3.1,Eugénie Le Sommer · 13&rsquor; Eugénie Le Sommer · 18&rsquor; Sara Däbritz · 34&rsquor; Ada Hegerberg · 49&rsquor;,0,0,Stade de Reims,4-4-1-1,1,0.5,Shana Chossenotte · 45&rsquor;,1,0,Lyon,Home,NA,990,21,12,4,8,9,7,10,70,3,18,0,18,9,30,7,1
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,4,3.1,Eugénie Le Sommer · 13&rsquor; Eugénie Le Sommer · 18&rsquor; Sara Däbritz · 34&rsquor; Ada Hegerberg · 49&rsquor;,0,0,Stade de Reims,4-4-1-1,1,0.5,Shana Chossenotte · 45&rsquor;,1,0,Stade de Reims,Away,NA,990,21,13,18,2,1,10,19,52.6,9,13,6,7,15,36,32,0
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,2.2,Laura Bourgouin · 36&rsquor;,1,0,Guingamp,5-4-1,1,0.4,Antonie Stárová · 8&rsquor;,2,0,Bordeaux,Home,NA,990,29,18,6,19,4,13,20,65,7,14,1,13,12,41,13,0
