match_id,season,competition,player_id,player_name,team,is_home,is_starter,age,position_id,usual_position_id,shirt_number,country,formation,rating,minutes_played,first_name,last_name,goals_in_match,assists_in_match,position_name
4829664,2025,2. Bundesliga,1032824,Florian Kastenmeier,Fortuna Düsseldorf,True,True,28.0,11,0,33,Germany,4-2-3-1,6.3,90,Florian,Kastenmeier,0,0,Goalkeeper
4829664,2025,2. Bundesliga,182893,Matthias Zimmermann,Fortuna Düsseldorf,True,True,33.0,32,2,25,Germany,4-2-3-1,5.9,90,Matthias,Zimmermann,0,0,Defender
4829664,2025,2. Bundesliga,1185260,Jamil Siebert,Fortuna Düsseldorf,True,True,23.0,34,1,20,Germany,4-2-3-1,7.0,90,Jamil,Siebert,0,0,Defender
4829664,2025,2. Bundesliga,1282980,Kenneth Schmidt,Fortuna Düsseldorf,True,True,23.0,36,1,4,Germany,4-2-3-1,7.0,90,Kenneth,Schmidt,0,0,Defender
4829664,2025,2. Bundesliga,642528,Moritz Heyer,Fortuna Düsseldorf,True,True,30.0,38,1,5,Germany,4-2-3-1,7.5,86,Moritz,Heyer,0,0,Defender
4829664,2025,2. Bundesliga,1285119,Anouar El Azzouzi,Fortuna Düsseldorf,True,True,24.0,64,2,8,Netherlands,4-2-3-1,6.7,90,Anouar,El Azzouzi,0,0,Midfielder
4829664,2025,2. Bundesliga,1093025,Sotiris Alexandropoulos,Fortuna Düsseldorf,True,True,23.0,66,2,14,Greece,4-2-3-1,6.9,61,Sotiris,Alexandropoulos,0,0,Midfielder
4829664,2025,2. Bundesliga,1180746,Christian Rasmussen,Fortuna Düsseldorf,True,True,22.0,83,3,10,Denmark,4-2-3-1,6.0,90,Christian,Rasmussen,0,0,Midfielder
4829664,2025,2. Bundesliga,1039217,Shinta Appelkamp,Fortuna Düsseldorf,True,True,24.0,85,2,23,Germany,4-2-3-1,7.2,86,Shinta,Appelkamp,0,0,Midfielder
4829664,2025,2. Bundesliga,1206523,Julian Hettwer,Fortuna Düsseldorf,True,True,22.0,87,3,11,Germany,4-2-3-1,6.6,61,Julian,Hettwer,0,0,Midfielder
4829664,2025,2. Bundesliga,726956,Cedric Itten,Fortuna Düsseldorf,True,True,28.0,115,3,13,Switzerland,4-2-3-1,6.2,90,Cedric,Itten,0,0,Forward
4829664,2025,2. Bundesliga,1257826,Nahuel Noll,Hannover 96,False,True,22.0,11,0,1,Germany,3-4-3,7.7,90,Nahuel,Noll,0,0,Goalkeeper
4829664,2025,2. Bundesliga,834602,Virgil Ghita,Hannover 96,False,True,27.0,33,1,5,Romania,3-4-3,7.6,90,Virgil,Ghita,0,0,Defender
4829664,2025,2. Bundesliga,860609,Boris Tomiak,Hannover 96,False,True,26.0,35,1,3,Germany,3-4-3,8.0,90,Boris,Tomiak,1,0,Defender
4829664,2025,2. Bundesliga,1600334,Ime Okon,Hannover 96,False,True,21.0,37,1,20,South Africa,3-4-3,7.2,82,Ime,Okon,0,0,Defender
4829664,2025,2. Bundesliga,1337351,Hayate Matsuda,Hannover 96,False,True,21.0,72,1,27,Japan,3-4-3,7.1,90,Hayate,Matsuda,0,0,Midfielder
4829664,2025,2. Bundesliga,1596359,Noel Aseko-Nkili,Hannover 96,False,True,19.0,74,2,15,Germany,3-4-3,7.3,74,Noel,Aseko-Nkili,0,0,Midfielder
4829664,2025,2. Bundesliga,1301517,Enzo Leopold,Hannover 96,False,True,25.0,76,2,8,Germany,3-4-3,8.0,90,Enzo,Leopold,0,0,Midfielder
4829664,2025,2. Bundesliga,673045,Maurice Neubauer,Hannover 96,False,True,29.0,78,1,33,Germany,3-4-3,7.6,90,Maurice,Neubauer,0,0,Midfielder
4829664,2025,2. Bundesliga,789638,Mustapha Bundu,Hannover 96,False,True,28.0,103,3,7,Sierra Leone,3-4-3,6.6,54,Mustapha,Bundu,0,0,Forward
4829664,2025,2. Bundesliga,803163,Benedikt Pichler,Hannover 96,False,True,28.0,105,3,11,Austria,3-4-3,6.5,82,Benedikt,Pichler,0,0,Forward
4829664,2025,2. Bundesliga,1561242,Husseyn Chakroun,Hannover 96,False,True,20.0,107,3,14,Lebanon,3-4-3,7.1,74,Husseyn,Chakroun,0,0,Forward
4829667,2025,2. Bundesliga,953080,Julian Krahl,Kaiserslautern,True,True,25.0,11,0,1,Germany,3-4-3,8.6,90,Julian,Krahl,0,0,Goalkeeper
4829667,2025,2. Bundesliga,1097361,Luca Sirch,Kaiserslautern,True,True,26.0,33,1,31,Germany,3-4-3,7.2,90,Luca,Sirch,0,0,Defender
4829667,2025,2. Bundesliga,1073476,Maxwell Gyamfi,Kaiserslautern,True,True,25.0,35,1,4,Germany,3-4-3,7.3,90,Maxwell,Gyamfi,0,0,Defender
4829667,2025,2. Bundesliga,1341538,Ji-Soo Kim,Kaiserslautern,True,True,20.0,37,1,5,South Korea,3-4-3,7.3,90,Ji-Soo,Kim,0,0,Defender
