League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take_Ons,Succ_Take_Ons
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,2,1.4,Dominika Grabowska · 63&rsquor; Ewelina Kamczyk · 70&rsquor;,1,0,Dijon,4-2-3-1,1,1.3,Sarah Jankovska · 42&rsquor;,2,0,Dijon,Away,NA,990,1,0,0,0,13,6,2,0,534,16,19,14,1.4,1.4,0.5,17,1,282,420,67.1,42,266,15,19,6
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,6,3.5,Vanessa Gilles · 15&rsquor; Eugénie Le Sommer · 16&rsquor; Lindsey Heaps · 23&rsquor; Eugénie Le Sommer · 26&rsquor; Lindsey Heaps · 79&rsquor; Lindsey Heaps · 85&rsquor;,3,0,Saint-Étienne,4-2-3-1,0,0.1,Faustine Bataillard · 90&rsquor;,4,1,Lyon,Home,NA,990,6,5,0,0,19,9,3,0,729,17,8,4,3.7,3.7,3.5,29,10,522,629,83,69,424,24,18,4
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,6,3.5,Vanessa Gilles · 15&rsquor; Eugénie Le Sommer · 16&rsquor; Lindsey Heaps · 23&rsquor; Eugénie Le Sommer · 26&rsquor; Lindsey Heaps · 79&rsquor; Lindsey Heaps · 85&rsquor;,3,0,Saint-Étienne,4-2-3-1,0,0.1,Faustine Bataillard · 90&rsquor;,4,1,Saint-Étienne,Away,NA,989,0,0,0,0,2,2,3,1,374,22,13,7,0.1,0.1,0.1,2,0,162,266,60.9,11,152,6,10,1
Championnat de France de Football Féminin,2023-10-20,Championnat de France de Football Féminin (Regular season),Montpellier,4-2-3-1,1,0.8,Faustine Robert · 52&rsquor;,3,0,Fleury,4-2-3-1,1,1.3,Marine Dafeur (P) · 90+5&rsquor;,1,0,Montpellier,Home,NA,990,1,1,0,0,16,4,3,0,549,21,8,14,0.8,0.8,0.5,24,2,296,438,67.6,27,289,10,6,5
Championnat de France de Football Féminin,2023-10-20,Championnat de France de Football Féminin (Regular season),Montpellier,4-2-3-1,1,0.8,Faustine Robert · 52&rsquor;,3,0,Fleury,4-2-3-1,1,1.3,Marine Dafeur (P) · 90+5&rsquor;,1,0,Fleury,Away,NA,990,1,0,1,1,7,3,1,0,569,14,3,16,1.3,0.5,0.3,13,2,308,441,69.8,34,274,12,13,6
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,1,0.9,Leila Peneau · 62&rsquor; Aissata Traoré · 76&rsquor;,4,1,Bordeaux,4-3-3,0,0.7,NA,3,0,Guingamp,Home,NA,975,1,1,0,0,13,3,3,1,504,10,14,6,0.9,0.9,0.7,24,2,272,405,67.2,23,234,8,12,8
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,1,0.9,Leila Peneau · 62&rsquor; Aissata Traoré · 76&rsquor;,4,1,Bordeaux,4-3-3,0,0.7,NA,3,0,Bordeaux,Away,NA,990,0,0,0,0,14,3,3,0,473,13,10,7,0.7,0.7,0.5,21,0,242,386,62.7,22,171,7,8,6
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-3-3,1,1.1,Phornetia Browne · 14&rsquor;,1,0,Le Havre,4-3-3,2,1.5,Nadjma Ali Nadjim · 69&rsquor; Chancelle Effa Effa · 76&rsquor;,0,0,Saint-Étienne,Home,NA,990,1,1,0,0,6,4,1,0,412,13,6,4,1.1,1.1,0.8,9,2,216,342,63.2,23,196,11,11,1
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-3-3,1,1.1,Phornetia Browne · 14&rsquor;,1,0,Le Havre,4-3-3,2,1.5,Nadjma Ali Nadjim · 69&rsquor; Chancelle Effa Effa · 76&rsquor;,0,0,Le Havre,Away,NA,990,2,2,0,0,8,6,0,0,566,16,4,6,1.5,1.5,0.8,14,3,369,493,74.8,37,264,11,7,2
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,0,0.2,NA,1,0,Paris Saint-Germain,4-3-3,4,0.8,Marie-Antoinette Katoto · 12&rsquor; Tabitha Chawinga · 25&rsquor; Sandy Baltimore · 45+1&rsquor; Amalie Vangsgaard · 90+2&rsquor;,2,0,Lille,Home,NA,990,0,0,0,0,6,3,1,0,356,26,11,4,0.2,0.2,0.1,10,0,186,283,65.7,15,157,2,6,2
